# ExxonMobil corporate turnaround plan (AMR Turnaround Schedule 2026 FP, Query1 sheet).
# Vendored from the operator's own plan to VERIFY the IIR Exxon outage records (per-unit, by site/date).
# bucket = focus unit class derived from platform/subunit (CDU/FCC/Hydrocracker/Reformer/Coker/Hydrotreater/Other).
site,unit,platform,subunit,bucket,year,start,end,event,region
Baytown Refinery,APS 3,Distillation,CDU,CDU,2026,2026-01-28,2026-03-04,2026 PS3/DCU,North America
Baytown Refinery,DCU,Coking,DC,Coker,2026,2026-01-28,2026-03-04,2026 PS3/DCU,North America
Baytown Refinery,VPS 3,Distillation,VAC,CDU,2026,2026-01-28,2026-03-04,2026 PS3/DCU,North America
Baytown Refinery,GF-1B,Hydroprocessing,,Hydrotreater,2026,2026-01-21,2026-02-28,2026 Gofiner 1 B,North America
Baytown Refinery,ALKY,Alkylation,FCC,Other,2027,2027-02-22,2027-04-08,2027 Fuels South Event,North America
Baytown Refinery,CLEU 3,Cracking,FCC,FCC,2027,2027-02-22,2027-04-12,2027 Fuels South Event,North America
Baytown Refinery,FCCU 3,Cracking,FCC,FCC,2027,2027-02-22,2027-04-13,2027 Fuels South Event,North America
Baytown Refinery,HU9,Hydroprocessing,Hydrofining Unit 9,Hydrotreater,2027,2027-02-22,2027-03-26,2027 Fuels South Event,North America
Baytown Refinery,BOP-2X,Olefins,Olefins,Other,2027,2027-01-18,2027-03-09,2027 BOP2X Event,North America
Sarnia Refinery,CCIS,Distillation,CDU,CDU,2026,2026-09-14,2026-11-05,2026 Phoenix Turnaround,North America
Sarnia Refinery,CCIS,Distillation,COB,Other,2026,2026-09-14,2026-10-25,2026 Phoenix Turnaround,North America
Sarnia Refinery,CCIS,Distillation,COK-OTH,Other,2026,2026-09-14,2026-11-05,2026 Phoenix Turnaround,North America
Sarnia Refinery,CCIS,Distillation,COK-SX,Other,2026,2026-09-14,2026-11-05,2026 Phoenix Turnaround,North America
Sarnia Refinery,FCIS Flare,Flares,,Other,2026,2026-09-14,2026-10-15,2026 Phoenix Turnaround,North America
Sarnia Refinery,MHIS,Hydroprocessing,HYDT,Hydrotreater,2026,2026-09-14,2026-10-09,2026 Phoenix Turnaround,North America
Sarnia Refinery,SRIS2,Gas Processing,SRU/TRU,Other,2026,2026-09-14,2026-10-23,2026 Phoenix Turnaround,North America
Beaumont Complex,CHD-2,Hydroprocessing,DHYT,Hydrotreater,2026,2026-02-14,2026-03-16,2026 CUA Block,North America
Beaumont Complex,CUA,Distillation,CDU,CDU,2026,2026-02-14,2026-03-24,2026 CUA Block,North America
Beaumont Complex,CUA,Distillation,FRACTIONATOR,Other,2026,2026-02-14,2026-03-24,2026 CUA Block,North America
Beaumont Complex,CUA,Distillation,VAC,CDU,2026,2026-02-14,2026-03-18,2026 CUA Block,North America
Beaumont Complex,GP5-East,Hydrocracking,HYC,Hydrocracker,2026,2026-02-14,2026-03-24,2026 CUA Block,North America
Beaumont Complex,Olefins MT,Olefins,Olefins,Other,2027,2027-04-02,2027-05-23,2027 Beaumont Olefins Event,North America
Baton Rouge Refinery,BRCP EPLA,,,Other,2027,2027-09-14,2027-10-14,"3Q27 Block (PipeStills #9, West Coker, EPLA-W)",North America
Baton Rouge Refinery,PSLA-9,Distillation,CDU,CDU,2027,2027-09-14,2027-10-05,"3Q27 Block (PipeStills #9, West Coker, EPLA-W)",North America
Baton Rouge Refinery,PSLA-9,Distillation,VAC,CDU,2027,2027-09-14,2027-10-05,"3Q27 Block (PipeStills #9, West Coker, EPLA-W)",North America
Baton Rouge Refinery,WEST,Coking,DC,Coker,2027,2027-09-14,2027-11-06,"3Q27 Block (PipeStills #9, West Coker, EPLA-W)",North America
Joliet Refinery,CHD,Hydroprocessing,DHYT,Hydrotreater,2027,2027-04-05,2027-05-09,2027 Joliet Crude/Coker/SSRU/CCR,North America
Joliet Refinery,COKER,Coking,DC,Coker,2027,2027-04-05,2027-05-08,2027 Joliet Crude/Coker/SSRU/CCR,North America
Joliet Refinery,CRUDE,Distillation,CDU,CDU,2027,2027-04-05,2027-05-13,2027 Joliet Crude/Coker/SSRU/CCR,North America
Joliet Refinery,Coke Handling,Miscellaneous,OTHER,Other,2027,2027-04-05,2027-05-05,2027 Joliet Crude/Coker/SSRU/CCR,North America
Joliet Refinery,PRETREATER,Hydroprocessing,HYDT,Hydrotreater,2027,2027-04-05,2027-05-05,2027 Joliet Crude/Coker/SSRU/CCR,North America
Joliet Refinery,REFORMER,Reforming,CCR,Reformer,2027,2027-04-05,2027-05-15,2027 Joliet Crude/Coker/SSRU/CCR,North America
Joliet Refinery,"SULFUR, EAST",Gas Processing,SRU/TRU,Other,2027,2027-04-05,2027-05-05,2027 Joliet Crude/Coker/SSRU/CCR,North America
Joliet Refinery,"SULFUR, WEST",Gas Processing,SRU/TRU,Other,2027,2027-04-05,2027-05-05,2027 Joliet Crude/Coker/SSRU/CCR,North America
Joliet Refinery,"TAIL GAS, SOUTH",Gas Processing,SRU/TRU,Other,2027,2027-04-05,2027-04-30,2027 Joliet Crude/Coker/SSRU/CCR,North America
Joliet Refinery,VACUUM,Distillation,VAC,CDU,2027,2027-04-05,2027-05-13,2027 Joliet Crude/Coker/SSRU/CCR,North America
Strathcona Refinery,AF,Distillation,Atmospheric pre_Flash,CDU,2026,2026-04-05,2026-05-18,2026 Crude,North America
Strathcona Refinery,AP,Distillation,Atmospheric Pipestill,CDU,2026,2026-04-05,2026-05-12,2026 Crude,North America
Strathcona Refinery,COB,Utilities,,Other,2026,2026-04-05,2026-06-10,2026 Crude,North America
Strathcona Refinery,HTIP,Hydroprocessing,HAGO Treater,Hydrotreater,2026,2026-04-05,2026-05-18,2026 Crude,North America
Strathcona Refinery,PF,Reforming,Powerformer,Reformer,2026,2026-04-05,2026-05-13,2026 Crude,North America
Strathcona Refinery,RHIP,Hydroprocessing,Refined Oil Hydrotreater,Hydrotreater,2026,2026-04-05,2026-05-12,2026 Crude,North America
Strathcona Refinery,SLE,Distillation,Saturated Light Ends,Other,2026,2026-04-05,2026-05-11,2026 Crude,North America
Strathcona Refinery,SU,Gas Processing,Sulphur Plant 1,Other,2026,2026-04-05,2026-05-09,2026 Crude,North America
Strathcona Refinery,VP,Distillation,Vacuum Pipestill,CDU,2026,2026-04-05,2026-05-14,2026 Crude,North America
Sarnia Refinery,AVIS,Distillation,CDU,CDU,2028,2028-04-01,2028-05-01,2028 HCIS AVIS MHIS ARIS TA Block,North America
Sarnia Refinery,AVIS,Distillation,VAC,CDU,2028,2028-04-01,2028-05-01,2028 HCIS AVIS MHIS ARIS TA Block,North America
Sarnia Refinery,CVBD - Flare,Flare,Flare,Other,2028,2028-04-01,2028-05-01,2028 HCIS AVIS MHIS ARIS TA Block,North America
Sarnia Refinery,HCIS,Hydrocracking,HYC,Hydrocracker,2028,2028-04-01,2028-05-01,2028 HCIS AVIS MHIS ARIS TA Block,North America
Sarnia Refinery,HPIS,Miscellaneous,OTHER,Other,2028,2028-04-01,2028-05-01,2028 HCIS AVIS MHIS ARIS TA Block,North America
Sarnia Refinery,HSIS,Miscellaneous,OTHER,Other,2028,2028-04-01,2028-05-22,2028 HCIS AVIS MHIS ARIS TA Block,North America
Sarnia Refinery,MHIS,Hydroprocessing,HYDT,Hydrotreater,2028,2028-04-01,2028-05-01,2028 HCIS AVIS MHIS ARIS TA Block,North America
