Refinery,Unit (IIR breakdown),Class,kbd,IIR window,Plan window,Verdict vs Exxon plan
Baton Rouge,PSLA 10 (Pipestill Sou,CDU,225,3/14-3/15,-,NOT IN PLAN
Baton Rouge,Light Ends 1 West,CDU,103,3/14-3/15,-,NOT IN PLAN
Baton Rouge,PSLA 8 (Pipestill),CDU,85,2/16-3/2,-,NOT IN PLAN
Baton Rouge,PCLA 3 (FCCU),CDU,44,2/18-3/3,-,NOT IN PLAN
Baton Rouge,PSLA 10 (Pipestill Sou,CDU,25,1/25-1/28,-,NOT IN PLAN
Baton Rouge,Delayed Coker Far East,Coker,10,1/25-1/28,-,NOT IN PLAN
Baton Rouge,LELA (Lube Extraction),Other,10,5/1-6/4,"plan months [2, 3, 10]",WRONG WINDOW
Baytown,Pipe Still 8 (PS-8),CDU,140,5/1-5/25,4/6-5/4,DATE OFF ~25d
Baytown,Pipe Still 8 (PS-8),CDU,115,4/25-4/30,4/6-5/4,DATE OFF ~19d
Baytown,Pipe Still 3 (PS-3),CDU,115,1/29-2/27,1/28-3/4,MATCH
Baytown,Pipe Still 3 (PS-3),CDU,95,1/29-2/24,1/28-3/4,MATCH
Baytown,FCCU 3 (Fuels East),FCC,31,5/11-5/26,-,NOT IN PLAN
Baytown,FCCU 3 (Fuels East),FCC,13,1/26-1/28,-,NOT IN PLAN
Baytown,Delayed Coker (DCU),Coker,52,1/29-3/1,1/28-3/4,MATCH
Baytown,Gofiner GF-1 Train B (,Hydrotreater,55,1/27-3/7,1/21-2/28,MATCH
Beaumont,Crude A (Sweet),CDU,165,2/16-3/9,2/14-3/24,MATCH
Beaumont,Crude C,CDU,50,7/1-7/31,"plan months [2, 3, 8, 9]",WRONG WINDOW
Beaumont,Crude A (Sweet),CDU,40,1/25-1/28,"plan months [2, 3, 8, 9]",WRONG WINDOW
Beaumont,Vacuum A-1,CDU,35,2/16-3/26,2/14-3/24,MATCH
Beaumont,FCCU,FCC,102,4/3-4/9,-,NOT IN PLAN
Beaumont,FCCU,FCC,25,4/10-4/15,-,NOT IN PLAN
Beaumont,Delayed Coker,Coker,25,7/1-7/31,"plan months [5, 6]",WRONG WINDOW
Beaumont,CHD 2 Diesel (ULSD),Hydrotreater,40,3/3-3/15,2/14-3/16,MATCH
Beaumont,Refinery 5 Gas Plant (,Other,5,2/6-3/26,2/14-3/24,MATCH
Exxon -- Baytown,Vacuum Crude Distillat,CDU,161,1/29-2/27,1/28-3/4,MATCH
Joliet,Crude,CDU,115,5/19-5/27,plan months [4],WRONG WINDOW
Joliet,Crude,CDU,115,2/5-2/18,plan months [4],WRONG WINDOW
Joliet,Crude,CDU,75,3/8-3/29,plan months [4],WRONG WINDOW
Joliet,Crude,CDU,65,5/9-5/18,plan months [4],WRONG WINDOW
Joliet,Crude,CDU,45,4/25-5/8,4/5-4/25,DATE OFF ~20d
Joliet,Crude,CDU,40,3/30-4/9,4/5-4/25,MATCH
Joliet,Crude,CDU,15,5/28-6/17,plan months [4],WRONG WINDOW
Joliet,Crude,CDU,5,1/25-1/29,plan months [4],WRONG WINDOW
Joliet,FCCU,FCC,98,4/27-5/8,4/5-4/19,DATE OFF ~22d
Joliet,FCCU,FCC,35,2/5-2/18,plan months [4],WRONG WINDOW
Joliet,FCCU,FCC,30,5/30-6/19,plan months [4],WRONG WINDOW
Joliet,FCCU,FCC,28,5/9-5/15,plan months [4],WRONG WINDOW
Joliet,FCCU,FCC,25,3/1-4/6,4/5-4/19,DATE OFF ~35d
Joliet,FCCU,FCC,10,5/16-5/29,plan months [4],WRONG WINDOW
Joliet,Reformer CCR,Reformer,20,4/25-5/8,-,NOT IN PLAN
Joliet,Reformer CCR,Reformer,15,5/9-5/19,-,NOT IN PLAN
Joliet,Reformer CCR,Reformer,14,3/8-3/12,-,NOT IN PLAN
Joliet,Reformer CCR,Reformer,13,2/5-2/18,-,NOT IN PLAN
Joliet,Reformer CCR,Reformer,10,5/20-6/19,-,NOT IN PLAN
Joliet,Reformer CCR,Reformer,2,3/19-4/8,-,NOT IN PLAN
Joliet,Delayed Coker,Coker,47,6/5-6/10,plan months [4],WRONG WINDOW
Joliet,Delayed Coker,Coker,30,3/8-3/27,plan months [4],WRONG WINDOW
Joliet,Delayed Coker,Coker,23,2/5-2/18,plan months [4],WRONG WINDOW
Joliet,Delayed Coker,Coker,10,4/25-6/5,4/5-4/30,DATE OFF ~20d
Joliet,Diesel (ULSD) CHD,Hydrotreater,80,2/5-2/18,plan months [4],WRONG WINDOW
Joliet,Diesel (ULSD) CHD,Hydrotreater,80,5/7-5/13,plan months [4],WRONG WINDOW
Sarnia,CCIS,CDU,-,-,9/14-11/5,MISSING (Canada/non-US)
Beaumont,GP5-East,Hydrocracker,-,-,2/2-3/24,MISSING from IIR (US)
Strathcona,AF+AP+VP,CDU,-,-,4/5-5/18,MISSING (Canada/non-US)
Strathcona,PF,Reformer,-,-,4/5-5/13,MISSING (Canada/non-US)
Beaumont,PtR-3,Reformer,-,-,9/28-10/23,MISSING from IIR (US)
Sarnia,PFIS2,Reformer,-,-,1/12-3/7,MISSING (Canada/non-US)
Strathcona,FCC,FCC,-,-,4/6-5/19,MISSING (Canada/non-US)
